date,event_hour,decision_time,max_forecast_issue_used,max_baseline_history_day,max_scenario_error_day,pass
2025-03-11,12,2025-03-11T12:00:00,2025-03-11T12:00:00,68,67,True
2025-03-11,18,2025-03-11T18:00:00,2025-03-11T18:00:00,68,67,True
2025-03-12,0,2025-03-12T00:00:00,2025-03-12T00:00:00,69,68,True
2025-03-12,6,2025-03-12T06:00:00,2025-03-12T06:00:00,69,68,True
2025-03-12,12,2025-03-12T12:00:00,2025-03-12T12:00:00,69,68,True
2025-03-12,18,2025-03-12T18:00:00,2025-03-12T18:00:00,69,68,True
2025-03-13,0,2025-03-13T00:00:00,2025-03-13T00:00:00,70,69,True
2025-03-13,6,2025-03-13T06:00:00,2025-03-13T06:00:00,70,69,True
2025-03-13,12,2025-03-13T12:00:00,2025-03-13T12:00:00,70,69,True
2025-03-13,18,2025-03-13T18:00:00,2025-03-13T18:00:00,70,69,True
2025-03-14,0,2025-03-14T00:00:00,2025-03-14T00:00:00,71,70,True
2025-03-14,6,2025-03-14T06:00:00,2025-03-14T06:00:00,71,70,True
2025-03-14,12,2025-03-14T12:00:00,2025-03-14T12:00:00,71,70,True
2025-03-14,18,2025-03-14T18:00:00,2025-03-14T18:00:00,71,70,True
2025-03-15,0,2025-03-15T00:00:00,2025-03-15T00:00:00,72,71,True
2025-03-15,6,2025-03-15T06:00:00,2025-03-15T06:00:00,72,71,True
2025-03-15,12,2025-03-15T12:00:00,2025-03-15T12:00:00,72,71,True
2025-03-15,18,2025-03-15T18:00:00,2025-03-15T18:00:00,72,71,True
2025-03-16,0,2025-03-16T00:00:00,2025-03-16T00:00:00,73,72,True
2025-03-16,6,2025-03-16T06:00:00,2025-03-16T06:00:00,73,72,True
2025-03-16,12,2025-03-16T12:00:00,2025-03-16T12:00:00,73,72,True
2025-03-16,18,2025-03-16T18:00:00,2025-03-16T18:00:00,73,72,True
2025-03-17,0,2025-03-17T00:00:00,2025-03-17T00:00:00,74,73,True
2025-03-17,6,2025-03-17T06:00:00,2025-03-17T06:00:00,74,73,True
2025-03-17,12,2025-03-17T12:00:00,2025-03-17T12:00:00,74,73,True
2025-03-17,18,2025-03-17T18:00:00,2025-03-17T18:00:00,74,73,True
2025-03-18,0,2025-03-18T00:00:00,2025-03-18T00:00:00,75,74,True
2025-03-18,6,2025-03-18T06:00:00,2025-03-18T06:00:00,75,74,True
2025-03-18,12,2025-03-18T12:00:00,2025-03-18T12:00:00,75,74,True
2025-03-18,18,2025-03-18T18:00:00,2025-03-18T18:00:00,75,74,True
2025-03-19,0,2025-03-19T00:00:00,2025-03-19T00:00:00,76,75,True
2025-03-19,6,2025-03-19T06:00:00,2025-03-19T06:00:00,76,75,True
2025-03-19,12,2025-03-19T12:00:00,2025-03-19T12:00:00,76,75,True
2025-03-19,18,2025-03-19T18:00:00,2025-03-19T18:00:00,76,75,True
2025-03-20,0,2025-03-20T00:00:00,2025-03-20T00:00:00,77,76,True
2025-03-20,6,2025-03-20T06:00:00,2025-03-20T06:00:00,77,76,True
2025-03-20,12,2025-03-20T12:00:00,2025-03-20T12:00:00,77,76,True
2025-03-20,18,2025-03-20T18:00:00,2025-03-20T18:00:00,77,76,True
2025-03-21,0,2025-03-21T00:00:00,2025-03-21T00:00:00,78,77,True
2025-03-21,6,2025-03-21T06:00:00,2025-03-21T06:00:00,78,77,True
2025-03-21,12,2025-03-21T12:00:00,2025-03-21T12:00:00,78,77,True
2025-03-21,18,2025-03-21T18:00:00,2025-03-21T18:00:00,78,77,True
2025-03-22,0,2025-03-22T00:00:00,2025-03-22T00:00:00,79,78,True
2025-03-22,6,2025-03-22T06:00:00,2025-03-22T06:00:00,79,78,True
2025-03-22,12,2025-03-22T12:00:00,2025-03-22T12:00:00,79,78,True
2025-03-22,18,2025-03-22T18:00:00,2025-03-22T18:00:00,79,78,True
2025-03-23,0,2025-03-23T00:00:00,2025-03-23T00:00:00,80,79,True
2025-03-23,6,2025-03-23T06:00:00,2025-03-23T06:00:00,80,79,True
2025-03-23,12,2025-03-23T12:00:00,2025-03-23T12:00:00,80,79,True
2025-03-23,18,2025-03-23T18:00:00,2025-03-23T18:00:00,80,79,True
2025-03-24,0,2025-03-24T00:00:00,2025-03-24T00:00:00,81,80,True
2025-03-24,6,2025-03-24T06:00:00,2025-03-24T06:00:00,81,80,True
2025-03-24,12,2025-03-24T12:00:00,2025-03-24T12:00:00,81,80,True
2025-03-24,18,2025-03-24T18:00:00,2025-03-24T18:00:00,81,80,True
2025-03-25,0,2025-03-25T00:00:00,2025-03-25T00:00:00,82,81,True
