strategy,date,event_hour,slot_j,slot_label,old_kwh,new_kwh,delta_kwh,legal
D,2025-01-04,6,106,17:50-18:00,597.9850537037038,597.9252453703705,-0.05980833333330793,True
D,2025-01-04,12,71,12:00-12:10,590.5943981481482,0.0,-590.5943981481482,True
D,2025-01-04,12,72,12:10-12:20,563.9093537037036,0.0,-563.9093537037036,True
D,2025-01-04,12,73,12:20-12:30,569.5184259259261,0.0,-569.5184259259261,True
D,2025-01-04,12,74,12:30-12:40,592.4478925925924,0.0,-592.4478925925924,True
D,2025-01-04,12,75,12:40-12:50,583.263385185185,0.0,-583.263385185185,True
D,2025-01-04,12,89,15:00-15:10,255.17125617284196,166.57244629629633,-88.59880987654563,True
D,2025-01-04,12,90,15:10-15:20,986.6631954732492,539.9787681069964,-446.68442736625275,True
D,2025-01-04,12,91,15:20-15:30,228.98445000000015,262.3671722222223,33.38272222222213,True
D,2025-01-04,12,92,15:30-15:40,297.1947027777778,324.9548944444445,27.760191666666685,True
D,2025-01-04,12,93,15:40-15:50,338.4536018518517,360.5912629629629,22.137661111111186,True
D,2025-01-04,12,94,15:50-16:00,390.8388361111114,407.3539666666668,16.5151305555554,True
D,2025-01-04,12,95,16:00-16:10,459.74252037037036,470.6351203703704,10.892600000000016,True
D,2025-01-04,12,96,16:10-16:20,496.99972037037026,506.06580925925937,9.066088888889112,True
D,2025-01-04,12,97,16:20-16:30,512.5298685185187,519.7694462962962,7.2395777777775265,True
D,2025-01-04,12,98,16:30-16:40,537.3868407407409,542.7999074074075,5.413066666666623,True
D,2025-01-04,12,99,16:40-16:50,599.5737907407406,603.1603462962964,3.586555555555833,True
D,2025-01-04,12,100,16:50-17:00,625.9161166666669,627.676161111111,1.7600444444441337,True
D,2025-01-04,12,101,17:00-17:10,621.4567166666666,621.3902499999999,-0.06646666666665624,True
D,2025-01-04,12,102,17:10-17:20,618.5019138888889,618.446525,-0.05538888888895599,True
D,2025-01-04,12,103,17:20-17:30,612.2515925925925,612.2072814814813,-0.044311111111142054,True
D,2025-01-04,12,104,17:30-17:40,597.1443768518519,597.1111435185186,-0.03323333333332812,True
D,2025-01-04,12,105,17:40-17:50,615.0989851851853,615.0768296296296,-0.02215555555562787,True
D,2025-01-04,12,106,17:50-18:00,597.9252453703705,597.9141675925927,-0.011077777777813935,True
D,2025-01-04,18,124,20:50-21:00,378.6243868632173,378.411995196553,-0.21239166666430265,True
D,2025-01-05,6,44,7:30-7:40,46.514801678031745,580.3435379629632,533.8287362849314,True
D,2025-01-05,6,45,7:40-7:50,424.0718203703702,1234.5198196628344,810.4479992924641,True
D,2025-01-05,6,65,11:00-11:10,75.86879679807117,698.3208592592589,622.4520624611878,True
D,2025-01-05,6,66,11:10-11:20,587.7113796296296,665.6511824074073,77.93980277777769,True
D,2025-01-05,6,67,11:20-11:30,587.3831185185187,682.7260740740744,95.3429555555557,True
D,2025-01-05,6,68,11:30-11:40,604.1425444444442,716.8886527777777,112.7461083333335,True
D,2025-01-05,6,69,11:40-11:50,607.1282759259257,737.2775370370367,130.14926111111106,True
D,2025-01-05,6,70,11:50-12:00,589.7017185185184,737.2541324074074,147.55241388888896,True
D,2025-01-05,6,71,12:00-12:10,531.2472222222225,696.202788888889,164.95556666666653,True
D,2025-01-05,6,72,12:10-12:20,471.6128879629631,628.4027212962964,156.78983333333326,True
D,2025-01-05,6,73,12:20-12:30,521.3434370370375,669.9675370370376,148.6241000000001,True
D,2025-01-05,6,74,12:30-12:40,644.9568990740738,785.4152657407406,140.45836666666673,True
D,2025-01-05,6,75,12:40-12:50,659.1342037037034,791.4268370370368,132.29263333333336,True
D,2025-01-05,6,76,12:50-13:00,0.0,646.9148690202952,646.9148690202952,True
